                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:            temperature   No. Observations:                63775
Model:                            GLM   Df Residuals:                    63603
Model Family:                   Gamma   Df Model:                          171
Link Function:                    log   Scale:                      0.00010027
Method:                          IRLS   Log-Likelihood:            -1.6093e+05
Date:                Fri, 27 Dec 2024   Deviance:                       6.4224
Time:                        15:23:58   Pearson chi2:                     6.38
No. Iterations:                     7   Pseudo R-squ. (CS):             0.9999
Covariance Type:            nonrobust                                         
=============================================================================================
                                coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------------------
C(hour)[T.13]:bare_ground    -2.5839      0.560     -4.615      0.000      -3.681      -1.486
C(hour)[T.14]:bare_ground    -2.2874      0.561     -4.079      0.000      -3.386      -1.188
C(hour)[T.15]:bare_ground    -2.1680      0.556     -3.903      0.000      -3.257      -1.079
C(hour)[T.16]:bare_ground    -0.9294      0.548     -1.695      0.090      -2.004       0.146
C(hour)[T.17]:bare_ground    -0.5246      0.552     -0.950      0.342      -1.607       0.558
C(hour)[T.18]:bare_ground    -1.3230      0.551     -2.399      0.016      -2.404      -0.242
C(hour)[T.19]:bare_ground    -0.5376      0.543     -0.991      0.322      -1.601       0.526
C(hour)[T.20]:bare_ground    -0.1567      0.540     -0.290      0.771      -1.214       0.901
C(hour)[T.21]:bare_ground    -0.0833      0.547     -0.152      0.879      -1.156       0.989
C(hour)[T.22]:bare_ground    -0.1051      0.533     -0.197      0.844      -1.151       0.940
C(hour)[T.23]:bare_ground     0.1642      0.532      0.308      0.758      -0.879       1.208
range_land                    0.1437      0.360      0.399      0.690      -0.562       0.849
C(hour)[T.1]:range_land      -0.3250      0.501     -0.649      0.516      -1.306       0.656
C(hour)[T.2]:range_land      -0.3459      0.510     -0.679      0.497      -1.345       0.653
C(hour)[T.3]:range_land      -0.1065      0.504     -0.211      0.833      -1.095       0.881
C(hour)[T.4]:range_land      -0.2456      0.499     -0.493      0.622      -1.223       0.732
C(hour)[T.5]:range_land      -0.2016      0.508     -0.397      0.691      -1.197       0.794
C(hour)[T.6]:range_land      -0.1007      0.495     -0.203      0.839      -1.072       0.870
C(hour)[T.7]:range_land       0.0137      0.502      0.027      0.978      -0.970       0.997
C(hour)[T.8]:range_land      -0.5461      0.503     -1.087      0.277      -1.531       0.439
C(hour)[T.9]:range_land      -0.9140      0.511     -1.788      0.074      -1.916       0.088
C(hour)[T.10]:range_land     -0.9014      0.511     -1.763      0.078      -1.904       0.101
C(hour)[T.11]:range_land     -1.7745      0.517     -3.432      0.001      -2.788      -0.761
C(hour)[T.12]:range_land     -0.9772      0.521     -1.874      0.061      -1.999       0.045
C(hour)[T.13]:range_land     -1.3114      0.518     -2.529      0.011      -2.328      -0.295
C(hour)[T.14]:range_land     -1.0427      0.520     -2.006      0.045      -2.062      -0.024
C(hour)[T.15]:range_land     -1.2200      0.515     -2.369      0.018      -2.229      -0.211
C(hour)[T.16]:range_land     -0.1460      0.509     -0.287      0.774      -1.143       0.851
C(hour)[T.17]:range_land     -0.1051      0.511     -0.206      0.837      -1.107       0.896
C(hour)[T.18]:range_land     -0.8948      0.510     -1.753      0.080      -1.895       0.106
C(hour)[T.19]:range_land     -0.4021      0.501     -0.803      0.422      -1.384       0.579
C(hour)[T.20]:range_land     -0.2390      0.500     -0.478      0.633      -1.219       0.741
C(hour)[T.21]:range_land     -0.1984      0.507     -0.391      0.696      -1.193       0.796
C(hour)[T.22]:range_land     -0.3193      0.495     -0.645      0.519      -1.289       0.651
C(hour)[T.23]:range_land     -0.1117      0.494     -0.226      0.821      -1.080       0.856
=============================================================================================
